	x01_Col_01_mock_02h_rep01	x01_Col_02_EV_02h_rep01	x01_Col_03_AvrRpt2_02h_rep01	x01_Col_01_mock_02h_rep02	x01_Col_02_EV_02h_rep02	x01_Col_03_AvrRpt2_02h_rep02	x01_Col_01_mock_02h_rep03	x01_Col_02_EV_02h_rep03	x01_Col_03_AvrRpt2_02h_rep03	x01_Col_01_mock_20h_rep01	x01_Col_02_EV_20h_rep01	x01_Col_03_AvrRpt2_20h_rep01	x01_Col_01_mock_20h_rep02	x01_Col_02_EV_20h_rep02	x01_Col_03_AvrRpt2_20h_rep02	x01_Col_01_mock_20h_rep03	x01_Col_02_EV_20h_rep03	x01_Col_03_AvrRpt2_20h_rep03
AT1G01010	986	466	520	754	1967	1417	530	978	1118	117	1403	536	281	715	574	165	467	446
AT1G01020	432	343	360	285	476	548	318	470	498	167	212	160	199	144	183	173	199	177
AT1G01030	254	99	127	231	438	429	161	225	385	44	209	33	79	110	37	56	62	37
AT1G01040	1386	1240	1408	971	1436	1817	1253	1700	1441	830	1861	1488	1002	1411	2003	942	950	1868
AT1G01046	9	8	10	5	5	9	9	11	8	4	5	7	2	4	10	4	7	11
AT1G01050	643	885	980	657	923	859	521	901	949	865	1734	1381	1237	817	1888	1121	943	1059
AT1G01060	10	5	0	1	3	7	20	23	5	674	14792	5059	1779	972	4257	5187	3442	2187
AT1G01070	47	102	87	98	132	146	72	98	139	250	275	406	293	212	413	206	216	241
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	963	1042	1081	546	835	779	735	1002	1041	999	406	136	1101	338	159	983	471	213
AT1G01090	1655	2182	2268	1417	2027	2265	1808	2452	2689	2363	1894	1177	2888	1464	1247	2881	1759	1242
AT1G01100	1439	1809	1950	1219	1892	2043	1128	1627	1459	1087	2109	1374	1764	1647	1807	1917	2171	1483
AT1G01110	4	6	4	1	3	4	1	2	10	13	13	1	11	7	6	7	8	1
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
