Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT5G10740	AT5G10740.1	Protein phosphatase 2C family protein;(source:Araport11)	protein_coding			
AT1G13830	AT1G13830.1	Carbohydrate-binding X8 domain superfamily protein;(source:Araport11)	protein_coding			
AT1G09400	AT1G09400.1	FMN-linked oxidoreductases superfamily protein;(source:Araport11)	protein_coding			
AT3G62780	AT3G62780.1	Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)	protein_coding			
AT1G60830	AT1G60830.1	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)	protein_coding			
AT1G26200	AT1G26200.1	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein;(source:Araport11)	protein_coding			
AT3G14280	AT3G14280.1	LL-diaminopimelate aminotransferase;(source:Araport11)	protein_coding			
AT3G47530	AT3G47530.1	Pentatricopeptide repeat (PPR) superfamily protein;(source:Araport11)	protein_coding			
AT5G26700	AT5G26700.1	RmlC-like cupins superfamily protein;(source:Araport11)	protein_coding			
AT4G27740	AT4G27740.1	Yippee family putative zinc-binding protein;(source:Araport11)	protein_coding			
AT5G06730	AT5G06730.1	Peroxidase superfamily protein;(source:Araport11)	protein_coding			
AT3G16565	AT3G16565.2	threonyl and alanyl tRNA synthetase second additional domain-containing protein;(source:Araport11)	protein_coding			
AT2G43620	AT2G43620.1	Chitinase family protein;(source:Araport11)	protein_coding			
AT3G51000	AT3G51000.1	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	protein_coding			
AT4G05160	AT4G05160.1	Encodes a peroxisomal protein involved in the activation of fatty acids through esterification with CoA. At4g05160 preferentially activates fatty acids with medium chain length (C6:0 and C7:0) as well as even-numbered long-chain fatty acids (C14:0,  C16:0 and C18:0). At4g05160 was also able to catalyze the conversion of OPC-6:0 to its CoA ester and is therefore thought to be involved in the peroxisomal &#946;-oxidation steps of jasmonic acid biosynthesis.	protein_coding			
AT4G24026	AT4G24026.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G15536	AT3G15536.1	Unknown gene The mRNA is cell-to-cell mobile.	other_rna			
AT3G51360	AT3G51360.1	Eukaryotic aspartyl protease family protein;(source:Araport11)	protein_coding			
AT4G05540	AT4G05540.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)	protein_coding			
AT2G29070	AT2G29070.2	Ubiquitin fusion degradation UFD1 family protein;(source:Araport11)	protein_coding			
AT1G24575	AT1G24575.1	DEAD-box ATP-dependent RNA helicase-like protein;(source:Araport11)	protein_coding			
AT1G49900	AT1G49900.1	C2H2 type zinc finger transcription factor family;(source:Araport11)	protein_coding			
AT4G36430	AT4G36430.1	Peroxidase superfamily protein;(source:Araport11)	protein_coding			
AT3G53040	AT3G53040.1	late embryogenesis abundant protein, putative / LEA protein;(source:Araport11)	protein_coding			
AT1G14010	AT1G14010.1	emp24/gp25L/p24 family/GOLD family protein;(source:Araport11)	protein_coding			
AT4G01610	AT4G01610.1	Encodes a capase involved in stress induced cell death.  Activity detected in leaf and cell culture.	protein_coding	 (ATCATHB3)	 (ATCATHB3)	
AT1G66280	AT1G66280.1	Glycosyl hydrolase superfamily protein;(source:Araport11)	protein_coding	 (BGLU22)	 (BGLU22)	
AT1G66960	AT1G66960.1	Terpenoid cyclases family protein;(source:Araport11)	protein_coding	 (LUP5)	 (LUP5)	
AT2G39420	AT2G39420.1	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	protein_coding	 (MAGL8)	 (MAGL8)	
AT5G10410	AT5G10410.1	ENTH/ANTH/VHS superfamily protein;(source:Araport11)	protein_coding	 (PICALM10B)	 (PICALM10B)	
AT1G65500	AT1G65500.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP6)	 (STMP6)	
AT1G65510	AT1G65510.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP7)	 (STMP7)	
AT3G44880	AT3G44880.1	Encodes a pheide a oxygenase (PAO). Accelerated cell death (acd1) mutants show rapid, spreading necrotic responses to both virulent and avirulent Pseudomonas syringae pv. maculicola or pv. tomato pathogens and to ethylene.	protein_coding	ACCELERATED CELL DEATH 1 (ACD1)	ACCELERATED CELL DEATH 1 (ACD1);PHEOPHORBIDE A OXYGENASE (PAO);LETHAL LEAF-SPOT 1 HOMOLOG (LLS1)	
AT1G23800	AT1G23800.1	Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product.	protein_coding	ALDEHYDE DEHYDROGENASE 2B7 (ALDH2B7)	ALDEHYDE DEHYDROGENASE 2B (ALDH2B);ALDEHYDE DEHYDROGENASE 2B7 (ALDH2B7)	
AT4G25000	AT4G25000.1	Predicted to be secreted protein based on signalP prediction. Involved in starch mobilization.  Mutants are defective in alpha-amylase activity. (Note: AMY1 has been found in the literature to be referred to as AMY3, which is not to be confused with AMY3/At1g69830).	protein_coding	ALPHA-AMYLASE-LIKE (AMY1)	ALPHA-AMYLASE-LIKE (AMY1); (ATAMY1)	
AT3G11900	AT3G11900.1	encodes an amino acid transporter that transports aromatic and neutral amino acids, IAA, and 2,4-D. Expressed in all tissues with highest abundance in flowers and cauline leaves. a member of a small gene family in Arabidopsis and represents a new class of amino acid transporters.	protein_coding	AROMATIC AND NEUTRAL TRANSPORTER 1 (ANT1)	AROMATIC AND NEUTRAL TRANSPORTER 1 (ANT1)	
AT3G12500	AT3G12500.1	encodes a basic chitinase involved in ethylene/jasmonic acid mediated signalling pathway during systemic acquired resistance based on expression analyses.	protein_coding	BASIC CHITINASE (HCHIB)	BASIC CHITINASE (HCHIB); (B-CHI); (CHI-B);PATHOGENESIS-RELATED 3 (PR-3);BASIC CHITINASE (ATHCHIB);PATHOGENESIS-RELATED 3 (PR3)	
AT3G51540	AT3G51540.1	mucin-5AC-like protein;(source:Araport11)	protein_coding	BASIC PROLINE-RICH PROTEIN7 (BPP7)	BASIC PROLINE-RICH PROTEIN7 (BPP7)	
AT5G64370	AT5G64370.1	PYD3 encodes a beta-ureidopropionase which, when expressed in E. coli, has been shown to convert beta-ureidopropionate into beta-alanine. It localizes to the cytosol and plays an important role in uracil degradation.	protein_coding	BETA-UREIDOPROPIONASE (BETA-UP)	PYRIMIDINE 3 (PYD3);BETA-UREIDOPROPIONASE (BETA-UP)	
AT5G65090	AT5G65090.1	Encodes a protein involved in root hair morphogenesis and tip growth.  Required for restricting both the size of the root-hair initiation site and the width of the root hairs during the transition to tip growth, but, apparently, is not required for normal subsequent tip growth.	protein_coding	BRISTLED 1 (BST1)	 (MRH3);DEFORMED ROOT HAIRS 4 (DER4);BRISTLED 1 (BST1)	
AT4G04695	AT4G04695.1	member of Calcium Dependent Protein Kinase. Involved in response to salicylic acid, regulated by Bacillus amyloliquefaciens under high calcium stress.	protein_coding	CALCIUM-DEPENDENT PROTEIN KINASE 31 (CPK31)	CALCIUM-DEPENDENT PROTEIN KINASE 31 (CPK31)	
AT4G32810	AT4G32810.1	Encodes a protein with similarity to carotenoid cleaving deoxygenases, the enzymes that cleave beta-carotene. Involved in the production of a graft transmissable signal to suppress axillary branching. Protein is localized to chloroplast stroma and expressed primarily in root tip.  Mutants in the gene exhibit increased shoot branching, and light-dependent defects in hook opening and hypocotyl/root elongation. Only upregulated by auxin in the root and hypocotyl, and this is not required for the inhibition of shoot branching.	protein_coding	CAROTENOID CLEAVAGE DIOXYGENASE 8 (CCD8)	MORE AXILLARY BRANCHING 4 (MAX4);CAROTENOID CLEAVAGE DIOXYGENASE 8 (CCD8); (ATCCD8)	
AT5G62820	AT5G62820.1	Uncharacterized protein family (UPF0497);(source:Araport11)	protein_coding	CASP-LIKE PROTEIN 4A2 (CASPL4A2)	CASP-LIKE PROTEIN 4A2 (CASPL4A2)	
AT2G25090	AT2G25090.1	Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.18), which has also been reported as a member of the CBL-interacting protein kinases (CIPK16) and is involved in salinity tolerance.	protein_coding	CBL-INTERACTING PROTEIN KINASE 16 (CIPK16)	CBL-INTERACTING PROTEIN KINASE 16 (CIPK16); (ATCIPK16);SNF1-RELATED PROTEIN KINASE 3.18 (SnRK3.18)	
AT4G35170	AT4G35170.1	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;(source:Araport11)	protein_coding	COMPANION OF CELLULOSE SYNTHASE 4 (CC4)	COMPANION OF CELLULOSE SYNTHASE 4 (CC4)	
AT5G10600	AT5G10600.1	member of CYP81K	protein_coding	CYTOCHROME P450, FAMILY 81, SUBFAMILY K, POLYPEPTIDE 2 (CYP81K2)	CYTOCHROME P450, FAMILY 81, SUBFAMILY K, POLYPEPTIDE 2 (CYP81K2)	
AT4G10500	AT4G10500.1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)	protein_coding	DMR6-LIKE OXYGENASE 1 (DLO1)	DMR6-LIKE OXYGENASE 1 (DLO1)	
AT4G36040	AT4G36040.1	Chaperone DnaJ-domain superfamily protein;(source:Araport11)	protein_coding	DNAJ11 (J11)	DNAJ11 (J11);DNA J PROTEIN C23 (DJC23)	
AT2G28510	AT2G28510.1	DOF transcription factor with a conserved zinc finger (ZF) DNA-binding domain.	protein_coding	DOF PROTEIN 2.1 (DOF2.1)	DOF PROTEIN 2.1 (DOF2.1)	
AT5G53870	AT5G53870.1	early nodulin-like protein 1;(source:Araport11)	protein_coding	EARLY NODULIN-LIKE PROTEIN 1 (ENODL1)	 (AtENODL1);EARLY NODULIN-LIKE PROTEIN 1 (ENODL1)	
AT2G29950	AT2G29950.1	Member of a small family of proteins containing  DUF1313 domain. Involved in flowering time.	protein_coding	ELF4-LIKE 1 (ELF4-L1)	ELF4-LIKE 1 (ELF4-L1);ELF4-LIKE 1 (EFL1)	
AT5G05460	AT5G05460.1	Encodes a cytosolic beta-endo-N-acetyglucosaminidase (ENGase). ENGases N-glycans cleave the O-glycosidic linkage between the two GlcNAc residues of the N-glycan core structure and thus generate a protein with a single GlcNAc attached to asparagine.	protein_coding	ENDO-BETA-N-ACETYGLUCOSAMINIDASE 85A (ENGase85A)	 (AtENGase85A);ENDO-BETA-N-ACETYGLUCOSAMINIDASE 85A (ENGase85A)	
AT5G47140	AT5G47140.1	Encodes a member of the GATA factor family of zinc finger transcription factors.	protein_coding	GATA TRANSCRIPTION FACTOR 27 (GATA27)	GATA TRANSCRIPTION FACTOR 27 (GATA27)	
AT5G61250	AT5G61250.2	Belongs to the plant glycoside hydrolase family 79. Encodes a protein with several posttranslational modification sites including O-&#946;-GlcNAc attachment sites and serine-, threonine- and  tyrosine-phosphorylation sites, suggesting that this protein is extensively modified posttranslationally. The protein is predicted  (WoLF PSORT program) to be secreted.	protein_coding	GLUCURONIDASE 1 (GUS1)	GLUCURONIDASE 1 (GUS1);GLUCURONIDASE 1 (AtGUS1)	
AT3G47340	AT3G47340.1	encodes a glutamine-dependent asparagine synthetase, the predicted ASN1 peptide contains a purF-type glutamine-binding domain, and  is expressed predominantly in shoot tissues, where light has a negative effect on its mRNA accumulation. Expression is induced within 3 hours of dark treatment, in senescing leaves and treatment with exogenous photosynthesis inhibitor. Induction of gene expression was suppressed in excised leaves supplied with sugar. The authors suggest that the gene's expression pattern is responding to the level of sugar in the cell.	protein_coding	GLUTAMINE-DEPENDENT ASPARAGINE SYNTHASE 1 (ASN1)	ARABIDOPSIS THALIANA GLUTAMINE-DEPENDENT ASPARAGINE SYNTHASE 1 (AT-ASN1);GLUTAMINE-DEPENDENT ASPARAGINE SYNTHASE 1 (ASN1);DARK INDUCIBLE 6 (DIN6)	
AT2G18950	AT2G18950.1	Encodes homogentisate phytyltransferase involved in tocopherol biosynthesis. Has impact on seed longevity and plays a role in the adaptation to low temperature stress, notably phloem loading.	protein_coding	HOMOGENTISATE PHYTYLTRANSFERASE 1 (HPT1)	HOMOGENTISATE PHYTYLTRANSFERASE 1 (HPT1);VITAMIN E 2 (VTE2);HOMOGENTISATE PHYTYLTRANSFERASE (ATHPT); (TPT1)	
AT3G45130	AT3G45130.1	lanosterol synthase 1;(source:Araport11)	protein_coding	LANOSTEROL SYNTHASE 1 (LAS1)	LANOSTEROL SYNTHASE 1 (LAS1)	
AT3G05970	AT3G05970.1	encode peroxisomal long-chain acyl-CoA synthetase (LACS) isozymes	protein_coding	LONG-CHAIN ACYL-COA SYNTHETASE 6 (LACS6)	 (ATLACS6);LONG-CHAIN ACYL-COA SYNTHETASE 6 (LACS6)	
AT4G37150	AT4G37150.1	Encodes a protein shown to have carboxylesterase activity, methyl salicylate esterase activity, methyl jasmonate esterase activity, and methyl IAA esterase activity in vitro. MES9 appears to be involved in MeSA hydrolysis in planta. Expression of MES9 can restore systemic acquired resistance in SAR-deficient tobacco plants. This protein does not act on MeGA4, or MEGA9 in vitro.	protein_coding	METHYL ESTERASE 9 (MES9)	METHYL ESTERASE 9 (MES9);ARABIDOPSIS THALIANA METHYL ESTERASE 9 (ATMES9)	
AT1G61110	AT1G61110.1	NAC transcription regulator.  Regulates endosperm cell expansion during germination.	protein_coding	NAC DOMAIN CONTAINING PROTEIN 25 (NAC025)	NAC DOMAIN CONTAINING PROTEIN 25 (NAC025);NAC DOMAIN CONTAINING PROTEIN 25 (anac025); (NAC25)	
AT3G27890	AT3G27890.1	Encodes NAD(P)H:quinone reductase which is an FMN binding protein that catalyzes the reduction of quinone substrates to hydroquinones.The enzyme activity was confirmed by in vitro assay.	protein_coding	NADPH:QUINONE OXIDOREDUCTASE (NQR)	NADPH:QUINONE OXIDOREDUCTASE (NQR)	
AT4G22920	AT4G22920.1	Similar to the tomato senescence-inducible chloroplast stay-green protein 1.  It is upregulated during maximal senescence in the Arabidopsis life cycle, especially in senescent leaves. Acts antagonistically with SGR2 to balance chlorophyll catabolism in chloroplasts with  the dismantling and remobilizing of other cellular components in senescing leaf cells.	protein_coding	NON-YELLOWING 1 (NYE1)	NON-YELLOWING 1 (ATNYE1);STAY-GREEN 1 (SGR1);STAY-GREEN (SGR);NON-YELLOWING 1 (NYE1)	
AT3G57260	AT3G57260.1	beta 1,3-glucanase	protein_coding	PATHOGENESIS-RELATED PROTEIN 2 (PR2)	BETA-1,3-GLUCANASE 2 (BGL2);PATHOGENESIS-RELATED PROTEIN 2 (PR2);BETA-1,3-GLUCANASE 2 (BG2);&#946;-1,3-GLUCANASE (GNS2); (AtPR2); (ATBG2);PATHOGENESIS-RELATED PROTEIN 2 (PR-2)	
AT1G06570	AT1G06570.1	Mutation of the PDS1 locus disrupts the activity of p-hydroxyphenylpyruvate dioxygenase (HPPDase), the first committed step in the synthesis of both plastoquinone and tocopherols in plants.	protein_coding	PHYTOENE DESATURATION 1 (PDS1)	PHYTOENE DESATURATION 1 (PDS1);4-HYDROXYPHENYLPYRUVATE DIOXYGENASE (HPPD);4-HYDROXYPHENYLPYRUVATE DIOXYGENASE (HPD)	
