gene_names gene_symbol heat_GO_terms hypoxia_GO_terms HSF21_binding HSF3_binding HSF6_binding HSF7_binding HSF6B_binding HSFC1_binding ERF4_binding AT1G28160_binding
AT1G07400 NA 1 1 0 2 1 0 2 2 0 0
AT1G07520 NA 0 0 0 0 0 0 0 0 0 0
AT1G08860 BON3 0 0 0 0 0 0 0 0 0 0
AT1G08930 ERD6 1 0 0 0 0 0 0 0 0 0
AT1G10040 NA 0 0 0 1 0 0 0 0 0 0
AT1G10280 NA 0 0 0 0 0 0 0 0 0 0
AT1G11100 FRG5 0 0 0 1 0 0 1 1 0 0
AT1G16090 WAKL7 0 0 0 0 0 0 0 0 0 0
AT1G16520 NAIP2 0 0 0 0 0 0 0 0 0 0
AT1G17750 AtPEPR2 0 0 0 0 0 0 1 0 0 0
AT1G21100 IGMT1 0 0 0 0 0 0 0 0 1 0
AT1G25550 HHO3 0 1 0 0 0 0 1 0 0 0
AT1G29690 CAD1 0 0 0 0 0 0 0 0 0 0
AT1G30420 ABCC11 0 0 0 0 0 0 0 0 0 0
AT1G30755 PSI2 0 0 0 0 0 0 0 0 0 0
AT1G32350 AOX1D 0 0 0 0 0 0 0 0 0 0
AT1G51670 HTT5 1 0 0 0 0 0 0 0 0 0
AT1G52565 NA 0 0 0 0 0 0 0 0 0 0
AT1G68390 NA 0 0 0 0 0 0 0 0 0 0
AT1G70170 At2-MMP 0 0 0 0 0 0 0 0 0 0
AT1G74310 ATHSP101 1 1 0 1 0 0 1 1 0 0
AT1G76470 NA 0 0 0 0 0 0 1 0 0 0
AT2G01180 ATLPP1 0 1 0 0 0 0 1 0 0 0
AT2G14620 XTH10 0 0 0 0 0 0 0 0 0 0
AT2G26190 IQM4 0 1 0 0 0 0 0 0 0 0
AT2G26560 PLA 0 1 0 0 0 0 0 0 0 0
AT2G28210 ACA2 0 0 0 0 0 0 0 0 0 0
AT2G29500 NA 1 0 0 2 1 0 2 0 0 0
AT2G37980 NA 0 0 0 0 0 0 0 0 1 1
AT2G38360 PRA1.B4 0 0 0 0 0 0 0 0 0 0
AT2G41010 ATCAMBP25 0 1 0 0 0 0 0 0 0 0
AT2G47140 AtSDR5 0 0 0 0 0 0 0 0 0 0
AT3G02550 LBD41 0 1 0 0 0 0 0 0 0 0
AT3G05320 AtOFT1 0 0 0 0 0 0 1 0 0 0
AT3G13520 AGP12 0 0 0 1 0 0 1 0 0 0
AT3G21700 ATSGP2 0 0 0 1 0 0 1 1 0 0
AT3G26980 MUB4 0 0 0 0 0 0 1 0 0 0
AT3G46520 ACT12 0 0 0 0 0 0 0 0 0 0
AT4G01870 NA 0 0 0 0 0 0 0 0 0 0
AT4G11370 RHA1A 0 0 0 0 0 0 0 0 0 0
AT4G12400 Hop3 1 0 0 2 1 0 1 1 0 0
AT4G17615 ATCBL1 1 0 0 1 0 0 1 0 0 0
AT4G21400 CRK28 0 0 0 0 0 0 0 0 0 0
AT4G25030 AtNHR2B 0 0 0 0 0 0 0 0 0 0
AT4G29440 ISTL4 0 0 0 0 0 0 0 0 0 0
AT4G37290 NA 0 0 0 0 0 0 0 0 0 0
AT5G01490 ATCAX4 0 0 0 1 0 0 2 1 0 0
AT5G03210 AtDIP2 0 0 0 1 0 1 2 2 0 0
AT5G03990 NA 0 0 0 0 0 0 0 0 0 0
AT5G05410 DREB2 1 1 0 1 0 0 3 1 0 0
AT5G13190 AtGILP 0 1 0 0 0 0 0 0 0 0
AT5G13200 GER5 0 0 0 1 0 0 0 0 1 0
AT5G17350 NA 0 0 0 0 0 0 0 0 0 0
AT5G24590 ANAC091 0 1 0 0 0 0 1 0 0 0
AT5G35735 NA 0 1 0 0 0 0 0 0 0 0
AT5G36260 A36 0 0 0 0 0 0 0 0 0 0
AT5G41730 NA 0 0 0 0 0 0 0 0 0 0
AT5G43650 BHLH92 0 0 1 1 1 1 1 1 0 0
AT5G47910 ATRBOHD 1 1 0 0 0 0 0 0 0 0
AT5G48570 ATFKBP65 1 0 0 2 0 0 2 1 0 0
AT5G57510 NA 0 1 0 0 0 0 0 0 1 0
AT5G58430 ATEXO70B1 0 0 2 1 0 0 1 1 0 0
AT5G59820 AtZAT12 1 1 1 3 1 1 2 1 0 0
AT5G64660 ATCMPG2 0 0 0 0 0 0 0 0 1 0
AT5G66070 AtARRE 0 0 0 0 0 0 1 0 0 0
AT5G66620 DAR6 0 0 0 1 1 0 1 1 0 0
