tair name	gene symbol	gene description	GO terms (HSF)
AT3G46620 	AtRDUF1 RDUF1 	 	GO:0009628:response to abiotic stimulus|GO:0042493:response to drug
AT3G52450 	AtPUB22 PUB22 	Encodes a cytoplasmically localized U-box domain E3 ubiquitin ligase protein that is involved in the response to water stress and acts as a negative regulator of PAMP-triggered immunity. 	GO:0009628:response to abiotic stimulus|GO:0002376:immune system process|GO:0042493:response to drug
AT4G38560 	 	 	GO:0033554:cellular response to stress|GO:0051716:cellular response to stimulus|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT5G62020 	AT-HSFB2A HSFB2A 	member of Heat Stress Transcription Factor (Hsf) family 	GO:0009408:response to heat|GO:0009266:response to temperature stimulus|GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0051716:cellular response to stimulus|GO:0034605:cellular response to heat|GO:0010557:positive regulation of macromolecule biosynthetic process|GO:0010628:positive regulation of gene expression|GO:0031328:positive regulation of cellular biosynthetic process|GO:0009891:positive regulation of biosynthetic process|GO:0010604:positive regulation of macromolecule metabolic process|GO:0051173:positive regulation of nitrogen compound metabolic process|GO:0031325:positive regulation of cellular metabolic process|GO:0045893:positive regulation of transcription, DNA-templated|GO:1902680:positive regulation of RNA biosynthetic process|GO:1903508:positive regulation of nucleic acid-templated transcription|GO:0009893:positive regulation of metabolic process|GO:0042493:response to drug|GO:0045935:positive regulation of nucleobase-containing compound metabolic process|GO:0051254:positive regulation of RNA metabolic process
AT1G59910 	FORMIN7 	 	
AT1G80920 	AtJ8 AtToc12 DJC22 J8 Toc12 	A nuclear encoded soluble protein found in the chloroplast stroma. 	GO:0009628:response to abiotic stimulus
AT3G04300 	 	 	
AT1G14200 	 	 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT2G37940 	AtIPCS2 ERH1 	I 	
AT2G01180 	ATLPP1 ATPAP1 LPP1 PAP1 	Encodes phosphatidate phosphatase. Up-regulated by genotoxic stress (gamma ray or UV-B) and elicitor treatments with mastoparan and harpin. Expressed in roots and leaves. 	GO:0033554:cellular response to stress|GO:0009628:response to abiotic stimulus|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0070887:cellular response to chemical stimulus
AT2G16870 	 	 	GO:0051716:cellular response to stimulus
