Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT1G52565	AT1G52565.1	cytochrome P450 family protein;(source:Araport11)	protein_coding			
AT4G01870	AT4G01870.1	tolB protein-like protein;(source:Araport11)	protein_coding			
AT5G41730	AT5G41730.1	Protein kinase family protein;(source:Araport11)	protein_coding			
AT5G17350	AT5G17350.1	PADRE protein up-regulated after infection by S. sclerotiorum.	protein_coding			
AT5G35735	AT5G35735.1	Auxin-responsive family protein;(source:Araport11)	protein_coding			
AT2G37980	AT2G37980.1	O-fucosyltransferase family protein;(source:Araport11)	protein_coding			
AT1G68390	AT1G68390.1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;(source:Araport11)	protein_coding			
AT1G76470	AT1G76470.1	NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)	protein_coding			
AT1G10280	AT1G10280.1	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;(source:Araport11)	protein_coding			
AT1G07520	AT1G07520.1	GRAS family transcription factor;(source:Araport11)	protein_coding			
AT5G03990	AT5G03990.1	FK506-binding-like protein;(source:Araport11)	protein_coding			
AT1G10040	AT1G10040.1	alpha/beta-Hydrolases superfamily protein;(source:Araport11)	protein_coding			
AT5G57510	AT5G57510.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT5G36260	AT5G36260.1	Eukaryotic aspartyl protease family protein;(source:Araport11)	protein_coding	 (A36)	 (A36)	
AT5G43650	AT5G43650.1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)	protein_coding	 (BHLH92)	 (BHLH92)	
AT2G29500	AT2G29500.1	HSP20-like chaperones superfamily protein;(source:Araport11)	protein_coding	 (HSP17.6B)	 (HSP17.6B)	
AT1G07400	AT1G07400.1	HSP20-like chaperones superfamily protein;(source:Araport11)	protein_coding	 (HSP17.8)	 (HSP17.8)	
AT2G26190	AT2G26190.1	IQM4 is a plastid localized, Ca2+ independent calmodulin binding protein that is involved in promoting seed dormancy.	protein_coding	 (IQM4)	 (IQM4)	
AT5G48570	AT5G48570.1	Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.	protein_coding	 (ROF2)	 (ROF2); (FKBP65); (ATFKBP65)	
AT3G21700	AT3G21700.3	Monomeric G protein. Expressed in root epidermal cells that are destined to become atrichoblasts. Also expressed during pollen development and in the pollen tube tip.	protein_coding	 (SGP2)	 (SGP2)	
AT5G66070	AT5G66070.2	E3 ubiquitin ligase that functions in negative regulation of ABA signaling.	protein_coding	ABA-RELATED RING-TYPE E3 LIGASE (ATARRE)	ARABIDOPSIS T??XICOS EN LEVADURA 27 (ATL27);ABA-RELATED RING-TYPE E3 LIGASE (ATARRE)	
AT3G46520	AT3G46520.1	Member of actin subclass composed of ACT12 and ACT4.  RNA is expressed at very low levels in vegetative organs, low levels in flowers and very high levels in pollen. Expression of an ACT12/GUS fusion was found in vascular tissues, tapetum, developing and mature pollen, the root cap and in a ring of pericycle tissues during lateral root initiation and early development.	protein_coding	ACTIN-12 (ACT12)	ACTIN-12 (ACT12)	
AT2G28210	AT2G28210.1	alpha carbonic anhydrase 2;(source:Araport11)	protein_coding	ALPHA CARBONIC ANHYDRASE 2 (ACA2)	ALPHA CARBONIC ANHYDRASE 2 (ACA2);ALPHA CARBONIC ANHYDRASE 2 (ATACA2)	
AT1G32350	AT1G32350.1	Alternative oxidase (AOX); terminal oxidases of electron transfer in mitochondria.	protein_coding	ALTERNATIVE OXIDASE 1D (AOX1D)	ALTERNATIVE OXIDASE 1D (AOX1D)	
AT3G13520	AT3G13520.1	Encodes a GPI-anchored arabinogalactan (AG) peptide with a short 'classical' backbone of 10 amino acids, seven of which are conserved among the 4 other Arabidopsis AG peptides.  These peptides may be involved in cell signaling.	protein_coding	ARABINOGALACTAN PROTEIN 12 (AGP12)	 (ATAGP12);ARABINOGALACTAN PROTEIN 12 (AGP12)	
AT1G30420	AT1G30420.1	member of MRP subfamily	protein_coding	ATP-BINDING CASSETTE C11 (ABCC11)	MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 12 (ATMRP12);ATP-BINDING CASSETTE C11 (ABCC11);MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 12 (MRP12)	
AT1G08860	AT1G08860.1	Encodes a copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Overexpression of this gene suppresses bon1-1 phenotypes. Double mutant analyses with bon1-1 suggest that BON1 and BON3 have overlapping functions in maintaining cellular homeostasis and inhibiting cell death.	protein_coding	BONZAI 3 (BON3)	BONZAI 3 (BON3)	
