tair name	gene symbol	gene description	GO terms (HSF)
AT1G59910 	FORMIN7 	 	
AT4G30850 	HHP2 	heptahelical transmembrane protein homologous to human adiponectin receptors and progestin receptors 	GO:0042221:response to chemical
AT3G25600 	CML16 	 	GO:0051716:cellular response to stimulus
AT4G34150 	 	 	GO:0033554:cellular response to stress|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0042221:response to chemical|GO:0070887:cellular response to chemical stimulus
AT5G59550 	AtRDUF2 RDUF2 	 	GO:0042221:response to chemical|GO:0010200:response to chitin
AT1G32928 	 	 	GO:0033554:cellular response to stress|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0042221:response to chemical|GO:0070887:cellular response to chemical stimulus
AT3G44720 	ADT4 	Encodes a plastid-localized arogenate dehydratase involved in phenylalanine biosynthesis.  Not less than six genes encoding ADT were identi&#64257;ed in the Arabidopsis genome: ADT1 [At1g11790]; ADT2 [At3g07630]; ADT3 [At2g27820]; ADT4 [At3g44720]; ADT5 [At5g22630]; and ADT6 [At1g08250]. 	
AT3G55950 	ATCRR3 CCR3 	 	
AT4G34390 	XLG2 	 	GO:0051716:cellular response to stimulus|GO:0042221:response to chemical
AT2G23810 	TET8 	Member of TETRASPANIN family 	
AT3G21140 	 	 	
AT1G15010 	 	 	GO:0033554:cellular response to stress|GO:0001666:response to hypoxia|GO:0036293:response to decreased oxygen levels|GO:0070482:response to oxygen levels|GO:0036294:cellular response to decreased oxygen levels|GO:0071453:cellular response to oxygen levels|GO:0071456:cellular response to hypoxia|GO:0051716:cellular response to stimulus|GO:0042221:response to chemical|GO:0070887:cellular response to chemical stimulus
AT4G30430 	TET9 	Member of TETRASPANIN family 	
AT3G52400 	ATSYP122 SYP122 	syntaxin protein, involved in the negative regulation of defense pathways such as programmed cell death, salicylic acid signalling pathway, jasmonic acid signalling pathway 	GO:0033554:cellular response to stress|GO:0051716:cellular response to stimulus|GO:0042221:response to chemical|GO:0070887:cellular response to chemical stimulus
